PID;Produktionsnummer;BVNr.;HST;Signatur;MARC 773 $g;Sortierdatum;Datumsangabe MARC 260 $c;Creationdate
1216512;ubr03302;VHVO 68;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 68 (1918);00/NA 8784-67/68;vol.68 (1918);1918;1918;03.05.2010
1111161;ubr02877;VHVO 69;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 69 (1919);999/Bav.2131(69/72;vol.69 (1919);1919;1919;19.04.2010
1111918;ubr02879;VHVO 70;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 70 (1920);999/Bav.2131(69/72);vol.70 (1920);1920;1920;19.04.2010
1111562;ubr02878;VHVO 71;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 71 (1921);999/Bav.2131(69/72);vol.71 (1921);1921;1921;19.04.2010
1112352;ubr02880;VHVO 72;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 72 (1922);999/Bav.2131(69/72);vol.72 (1922);1922;1922;19.04.2010
1112630;ubr02881;VHVO 73;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 73 (1923);240/NA 8783-71/75;vol.73 (1923);1923;1923;19.04.2010
1112926;ubr02882;VHVO 74;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 74 (1924);240/NA 8783-71/75;vol.74 (1924);1924;1924;19.04.2010
1113579;ubr02883;VHVO 75;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 75 (1925);240/NA 8783-71/75;vol.75 (1925);1925;1925;19.04.2010
1420343;ubr02658;VHVO 76;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 76 (1926);00/NA 8784-76;vol.76 (1926);1926;1926;24.06.2010
776149;ubr00441;VHVO 77;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 77 (1927);00/NA 8784-77;vol.77 (1927);1927;1927;05.02.2010
1004155;ubr00207;VHVO 75,1;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 75,1 (1928) Register zu Band 41-75;00/NA 8784-75,1;vol.75,1 (1928);1928;1928;22.03.2010
777216;ubr00446;VHVO 78;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 78 (1928);00/NA 8784-78;vol.78 (1928);1928;1928;05.02.2010
1091115;ubr02395;VHVO 79;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 79 (1929);00/NA 8784-79;vol.79 (1929);1929;1929;13.04.2010
779591;ubr00638;VHVO 80;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 80 (1930);00/NA 8784-80;vol.80 (1930);1930;1930;08.02.2010
780943;ubr00635;VHVO 81;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 81 (1931);00/NA 8784-81;vol.81 (1931);1931;1931;08.02.2010
1058254;ubr00649;VHVO 82;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 82 (1932);00/NA 8784-82;vol.82 (1932);1932;1932;07.04.2010
782302;ubr00650;VHVO 83;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 83 (1933);00/NA 8784-83;vol.83 (1933);1933;1933;08.02.2010
1432262;ubr02228;VHVO 84;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 84 (1934);00/NA 8784-84;vol.84 (1934);1934;1934;01.07.2010
783816;ubr00652;VHVO 85;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 85 (1935);00/NA 8784-85;vol.85 (1935);1935;1935;08.02.2010
1332021;ubr02227;VHVO 86;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 86 (1936);50/NA 8785-86;vol.86 (1936);1936;1936;19.05.2010
998699;ubr00049;VHVO 87;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 87 (1937);00/NA 8784-87;vol.87 (1937);1937;1937;22.03.2010
1415590;ubr01820;VHVO 88;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 88 (1938);00/NA 8784-88;vol.88 (1938);1938;1938;23.06.2010
865353;ubr02352;VHVO 89;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 89 (1939);00/NA 8784-89;vol.89 (1939);1939;1939;22.02.2010
1342586;ubr02231;VHVO 90;Verhandlungen des historischen Vereins von Oberpfalz und Regensburg Band 90 (1940);00/NA 8784-90;vol.90 (1940);1940;1940;19.05.2010
